PAIR,ROR_H1,N_EXPOSED_H1,SIGNAL_H1,ROR_H2,N_EXPOSED_H2,SIGNAL_H2,STABLE,UNSTABLE
ACETAMINOPHEN + ASACOL,2.1750322534403668,39,True,3.75941473354698,44,True,True,False
ACETAMINOPHEN + ASPIRIN LYSINE,9.66668020459796,11,True,6.283535733142839,30,True,True,False
ACETAMINOPHEN + ATIVAN,3.3029372319091967,53,True,2.24419590163207,93,True,True,False
ACETAMINOPHEN + ATOMOXETINE,28.034645138786026,30,True,8.055815705518736,28,True,True,False
ACETAMINOPHEN + ATOMOXETINE HYDROCHLORIDE,9.18352095716825,21,True,26.102715914874096,56,True,True,False
ACETAMINOPHEN + ATOVAQUONE,3.866863219662308,50,True,6.283863954030129,60,True,True,False
ACETAMINOPHEN + ATRACURIUM,11.11700002866945,25,True,3.093351426639686,21,True,True,False
ACETAMINOPHEN + ATROPINE,8.378068350053317,29,True,7.491997486596776,35,True,True,False
ACETAMINOPHEN + ATROVENT,4.591737782152482,23,True,6.6059724219878655,47,True,True,False
ACETAMINOPHEN + AZACITIDINE,3.2625806336009173,35,True,2.900105363504089,48,True,True,False
ACETAMINOPHEN + AZATHIOPRINE,1.8095066635641144,112,False,3.0740571555601797,163,True,False,True
ACETAMINOPHEN + AZATHIOPRINE SODIUM,4.188904072716732,16,True,5.220167717889908,32,True,True,False
ACETAMINOPHEN + BACTRIM,1.6314209873533885,215,False,3.0371747508504288,294,True,False,True
ACETAMINOPHEN + BACTRIM DS,4.591737782152482,23,True,1.757576771134935,31,False,False,True
ACETAMINOPHEN + BENDAMUSTINE,27.06703012377769,14,True,1.657128522794174,19,False,False,True
ACETAMINOPHEN + BENSERAZIDE / LEVODOPA,4.350201050768007,44,True,2.082081985684584,41,True,True,False
ACETAMINOPHEN + BENZONATATE,4.269772985388682,65,True,2.693118734773753,106,True,True,False
ACETAMINOPHEN + BERINERT,17.401062236143265,38,True,55.10626478388646,58,True,True,False
ACETAMINOPHEN + BETAMETHASONE DIPROPIONATE,2.9000236520143634,24,True,3.3144847740763534,62,True,True,False
ACETAMINOPHEN + BEVACIZUMAB,2.4771784343895296,57,True,1.812551070143498,69,False,False,True
ACETAMINOPHEN + BILASTINE,4.189003116232361,32,True,3.728672796526867,34,True,True,False
ACETAMINOPHEN + BISACODYL,2.033443231887542,90,True,3.5744161652851747,155,True,True,False
ACETAMINOPHEN + BISOPROLOL,2.1387376976506096,440,True,2.517268198380757,544,True,True,False
ACETAMINOPHEN + BISOPROLOL FUMARATE,2.7581953606312895,131,True,2.9465680144575805,170,True,True,False
ACETAMINOPHEN + BMS-830216,4.833328157065486,12,True,3.2866937429820577,22,True,True,False
ACETAMINOPHEN + BORTEZOMIB,3.504270017536399,37,True,2.1369134048970397,61,True,True,False
ACETAMINOPHEN + BRINZOLAMIDE,8.216795279164776,19,True,4.511138240322874,17,True,True,False
ACETAMINOPHEN + BROMAZEPAM,6.1230298208012055,88,True,5.185334618646129,70,True,True,False
ACETAMINOPHEN + BROTIZOLAM,1.9333169285460023,15,False,21.266799816520773,11,True,False,True
ACETAMINOPHEN + BUDESONIDE,3.1510064230429156,115,True,2.316287489565212,163,True,True,False
ACETAMINOPHEN + BUDESONIDE / FORMOTEROL,2.2095258118011727,23,False,3.075869578060465,46,True,True,False
ACETAMINOPHEN + BUMETANIDE,2.513471035875136,72,True,2.03701015395454,87,True,True,False
ACETAMINOPHEN + BUPIVACAINE,3.59056522568651,33,True,3.075869578060465,46,True,True,False
ACETAMINOPHEN + BUPROPION HYDROCHLORIDE / NALTREXONE HYDROCHLORIDE PILL,19.33340819012989,10,True,9.18352095716825,21,True,True,False
ACETAMINOPHEN + BUSPIRONE,5.662248081965389,48,True,2.497283119423287,43,True,True,False
ACETAMINOPHEN + BUSULFAN,12.566774333809551,14,True,2.1749817238364177,13,False,True,False
ACETAMINOPHEN + BUTRANS,6.186939350861894,37,True,10.634133171502093,48,True,True,False
ACETAMINOPHEN + BUTYLSCOPOLAMINE BROMIDE,2.126683310835832,32,True,2.6770137193096404,49,True,True,False
ACETAMINOPHEN + CAFFEINE,2.6669318677403573,109,True,2.900350540147241,120,True,True,False
ACETAMINOPHEN + CAFFEINE CITRATE,16.433631172802638,18,True,19.334698373181507,42,True,True,False
ACETAMINOPHEN + CALCIFEDIOL,6.766820525317393,24,True,2.623830707145724,26,True,True,False
ACETAMINOPHEN + CALCITRIOL,1.3895769225255874,39,False,2.987980451264671,45,True,False,True
ACETAMINOPHEN + CALCIUM ACETATE,4.833328157065486,12,True,4.833328157065486,12,True,True,False
ACETAMINOPHEN + CALCIUM ASCORBATE,10.150255873625666,23,True,47.3711467059144,50,True,True,False
ACETAMINOPHEN + CALCIUM CARBONATE,3.739221155876389,292,True,3.8338775680451342,412,True,True,False
ACETAMINOPHEN + CALCIUM CARBONATE / CHOLECALCIFEROL,3.373415279868928,202,True,1.6673060936004942,188,False,False,True
ACETAMINOPHEN + CALCIUM CHLORIDE,6.283371637989937,15,True,4.350056979852784,22,True,True,False
ACETAMINOPHEN + CALCIUM CITRATE,3.987655714674809,41,True,4.543640273331103,57,True,True,False
ACETAMINOPHEN + CALCIUM GLUBIONATE,110.21280194968102,57,True,156.6271738039598,81,True,True,False
ACETAMINOPHEN + CALCIUM GLUCONATE,5.938483682207162,50,True,3.286879503794178,66,True,True,False
ACETAMINOPHEN + CALCIUM\VITAMIN D,1.819634077185724,49,False,2.3883267875476175,59,True,False,True
ACETAMINOPHEN + CALTRATE,9.66668020459796,11,True,1.9333258475821424,21,False,False,True
ACETAMINOPHEN + CANDESARTAN,2.0947085016050533,171,True,3.0256094304914587,256,True,True,False
ACETAMINOPHEN + CANDESARTAN CILEXETIL,1.6240301042898613,67,False,6.767109868711847,48,True,False,True
ACETAMINOPHEN + CANNABIS SATIVA SUBSP. INDICA TOP,4.543640273331103,57,True,1.0439819380733946,52,False,False,True
ACETAMINOPHEN + CAPECITABINE,2.50206859060514,61,True,2.513424027829544,54,True,True,False
ACETAMINOPHEN + CAPTOPRIL,3.5444403565103273,14,False,5.4778499812854875,20,True,True,False
ACETAMINOPHEN + CARBAMAZEPINE,6.163005691266701,59,True,2.859980462714289,95,True,True,False
ACETAMINOPHEN + CARBIDOPA / LEVODOPA,4.16918895961464,85,True,1.7463014455860633,87,False,False,True
ACETAMINOPHEN + CARBIMAZOLE,7.250078839482813,17,True,21.266799816520773,11,True,True,False
ACETAMINOPHEN + CARBOPLATIN,2.9902403574646774,221,True,3.6846770201376224,279,True,True,False
ACETAMINOPHEN + CARFILZOMIB,4.108377332345844,21,True,28.034645138786026,30,True,True,False
ACETAMINOPHEN + CARVEDILOL,1.8391439435780992,119,False,2.724826582010067,210,True,False,True
ACETAMINOPHEN + CEFAZOLIN,2.3630589396496364,62,True,2.5241946873523307,65,True,True,False
ACETAMINOPHEN + CEFEPIME,10.3924234966933,47,True,3.6519941587113487,43,True,True,False
ACETAMINOPHEN + CEFEPIME HYDROCHLORIDE,4.3499849490417555,11,False,8.699991399452431,10,True,True,False
ACETAMINOPHEN + CEFOTAXIME,10.633626796315983,24,True,1.933330307164137,24,False,False,True
ACETAMINOPHEN + CEFTAZIDIME,8.70032253440367,30,True,12.08375342243204,27,True,True,False
ACETAMINOPHEN + CEFTRIAXONE,3.7252881461147367,165,True,3.4566033925686592,183,True,True,False
ACETAMINOPHEN + CEFTRIAXONE SODIUM,7.491997486596776,35,True,5.961430334886314,43,True,True,False
ACETAMINOPHEN + CELECOXIB,2.9005004014682267,164,True,4.184320222494101,277,True,True,False
ACETAMINOPHEN + CERTOLIZUMAB PEGOL,4.672637579076559,70,True,4.610698928930815,75,True,True,False
ACETAMINOPHEN + CETIRIZINE,3.798354056173608,340,True,2.165725144003201,392,True,True,False
