PAIR,ROR_H1,N_EXPOSED_H1,SIGNAL_H1,ROR_H2,N_EXPOSED_H2,SIGNAL_H2
ABILIFY + DIAZEPAM,0.2543719661041074,24,False,4.833328157065486,12,True
ABILIFY + DULOXETINA,1.4499774237244405,10,False,1.546646152817031,13,False
ABILIFY + EFFEXOR,1.104741791360088,15,False,2.255531399812063,10,False
ABILIFY + ELIQUIS,0.8285523846383035,13,False,2.577756329549898,11,False
ABILIFY + ESCITALOPRAM,0.6904586710096742,12,False,0.8285523846383035,13,False
ABILIFY + FERRUM,1.772207038466929,17,False,0.9666468377685562,12,False
ABILIFY + FLUOXETINE,2.8999964164128293,16,False,1.0874801112337487,17,False
ABILIFY + FLUOXETINE HYDROCHLORIDE,2.8999964164128293,16,False,1.933312469091856,12,False
ABILIFY + FOLIC ACID,2.7066695654043618,19,False,1.6110934587105041,16,False
ABILIFY + FUROSEMIDE,4.833328157065486,12,True,1.5190308501750152,18,False
ABILIFY + GABAPENTIN,1.4245612861470451,47,False,1.5921646017154374,45,False
ABILIFY + HALDOL,0.8285523846383035,13,False,0.3452233629594338,19,False
ABILIFY + IBUPROFEN,1.104741791360088,15,False,1.0874801112337487,17,False
ABILIFY + INVEGA,0.3717799251171446,18,False,1.0874801112337487,17,False
ABILIFY + KLONOPIN,0.6151327648890839,18,False,1.380933837399434,17,False
ABILIFY + LAMICTAL,1.993788435900744,49,False,4.591900828815742,46,True
ABILIFY + LAMOTRIGINE,0.6444179521913048,40,False,2.196997208190293,36,True
ABILIFY + LASIX,3.222210807887995,13,False,3.866644050465981,10,False
ABILIFY + LATUDA,2.577756329549898,11,False,1.1599813653467121,22,False
ABILIFY + LEXAPRO,0.4393784469731357,16,False,0.5523656171962481,11,False
ABILIFY + LISINOPRIL,0.7518326511326655,16,False,2.7066695654043618,19,False
ABILIFY + LITHIUM,0.8179275595204841,24,False,2.2095258118011727,23,False
ABILIFY + LITHIUM CARBONATE,2.658323697488628,15,False,3.3833453184988045,18,True
ABILIFY + LORAZEPAM,1.1153664216578123,28,False,1.6490315629881078,46,False
ABILIFY + LOXAPINE,1.104741791360088,15,False,3.141670290080129,17,True
ABILIFY + LT4,0.7595022852992732,25,False,0.8285523846383035,13,False
ABILIFY + LYRICA,0.4027625809678072,17,False,0.669210260232722,22,False
ABILIFY + MELATONINA,2.07142549976041,22,False,1.4499870989937216,25,False
ABILIFY + METFORMIN,1.06331371124957,21,False,1.1941034810449458,38,False
ABILIFY + MIRTAZAPINE,1.5036904487920202,23,False,4.108377332345844,21,True
ABILIFY + OLANZAPINE,0.8458035082857088,75,False,1.3720546538055634,75,False
ABILIFY + OMEPRAZOLE,1.79522685526164,20,False,1.342586177329895,43,False
ABILIFY + OXAZEPAM,1.933312469091856,12,False,8.699991399452431,10,True
ABILIFY + PALIPERIDONE PALMITATE,1.4499774237244405,10,False,1.546646152817031,13,False
ABILIFY + PANTOPRAZOLE,0.6444281460705922,10,False,0.9022008904858492,29,False
ABILIFY + PANTOPRAZOLE SODIUM,0.8055371070264209,11,False,0.9666468377685562,12,False
ABILIFY + PAROXETINE,1.6110934587105041,16,False,16.9176589766624,37,True
ABILIFY + PERINDOPRIL,8.699991399452431,10,True,0.41427322319329657,10,False
ABILIFY + PREDNISONE,1.9333258475821422,21,False,1.0984687399412099,47,False
ABILIFY + PROZAC,4.833328157065486,12,True,1.4499838738577315,20,False
ABILIFY + QUETIAPINE,0.7876273918250672,49,False,3.625303743844483,76,True
ABILIFY + QUETIAPINE FUMARATE,0.828549927048404,26,False,2.0715022967485086,66,True
ABILIFY + REXULTI,1.1599790721509098,11,False,0.6444264471312999,15,False
ABILIFY + RISPERDAL,1.5305489988086365,31,False,0.48330761107952236,39,False
ABILIFY + RISPERIDONE,0.92461520962668,45,False,1.5550904000872579,60,False
ABILIFY + SEROQUEL,1.1153664216578123,28,False,1.784624647075461,37,False
ABILIFY + SERTRALINE,0.9666465190395077,20,False,4.156907756412707,53,True
ABILIFY + SERTRALINE HYDROCHLORIDE,2.4166521332992494,14,False,10.633626796315985,24,True
ABILIFY + SPIRONOLACTONE,2.5133300204981674,18,False,1.6111007584517518,24,False
ABILIFY + SYNTHROID,0.7030105536719581,19,False,1.0740543423180071,19,False
ABILIFY + TRAZODONE,0.42289854985904723,23,False,1.4822190473460053,38,False
ABILIFY + VALPROATE SODIUM,4.25341918220587,27,True,2.9000100341159945,20,True
ABILIFY + VEDOLIZUMAB,0.724981544790614,14,False,0.2842994850682149,22,False
