Id,signal_count,drug_class,r,g,b,Label
ROSUVASTATIN CALCIUM,9,Lipid Modifying,123,151,212,ROSUVASTATIN CALCIUM
DOCUSATE SODIUM,9,Alimentary/Metabolism,138,177,125,DOCUSATE SODIUM
PAROXETINE,9,Psychoanaleptic,177,133,219,PAROXETINE
ENOXAPARIN,9,Antithrombotic,69,123,157,ENOXAPARIN
LENALIDOMIDE,9,Immunosuppressant,230,57,70,LENALIDOMIDE
HALOPERIDOL,9,Psycholeptic,155,93,229,HALOPERIDOL
VENETOCLAX,9,Antineoplastic,42,157,143,VENETOCLAX
MESNA,8,Respiratory (Other),144,190,109,MESNA
INSULIN ASPART,8,Antidiabetic,96,108,56,INSULIN ASPART
BENZONATATE,8,Respiratory (Other),144,190,109,BENZONATATE
OFEV,8,Antineoplastic,42,157,143,OFEV
ACETAMINOPHEN / HYDROCODONE,8,Analgesic/Opioid,38,70,83,ACETAMINOPHEN / HYDROCODONE
MIDODRINE HYDROCHLORIDE,8,Cardiovascular (Other),87,117,144,MIDODRINE HYDROCHLORIDE
METHADONE,8,Nervous System (Other),212,191,239,METHADONE
OXALIPLATIN,8,Antineoplastic,42,157,143,OXALIPLATIN
DIPHENHYDRAMINE HYDROCHLORIDE,8,Anti-inflammatory (NSAID),231,111,81,DIPHENHYDRAMINE HYDROCHLORIDE
HYDRALAZINE,8,Cardiovascular (Other),87,117,144,HYDRALAZINE
(-)-ARTERENOL,8,Unclassified,204,204,204,(-)-ARTERENOL
VONOPRAZAN FUMARATE,8,Alimentary/Metabolism,138,177,125,VONOPRAZAN FUMARATE
AZACITIDINE,8,Antineoplastic,42,157,143,AZACITIDINE
MERCAPTOPURINE,8,Antineoplastic,42,157,143,MERCAPTOPURINE
VOLTARENE,8,Anti-inflammatory (NSAID),231,111,81,VOLTARENE
FERRUM,8,Blood (Other),61,90,128,FERRUM
CELLCEPT,8,Immunosuppressant,230,57,70,CELLCEPT
TAMSULOSIN HYDROCHLORIDE,8,Genitourinary,204,213,174,TAMSULOSIN HYDROCHLORIDE
FLUOROURACIL,8,Antineoplastic,42,157,143,FLUOROURACIL
PULMOZYME,8,Respiratory (Other),144,190,109,PULMOZYME
UPTRAVI,8,Antithrombotic,69,123,157,UPTRAVI
NEBIVOLOL,7,RAAS Inhibitor,67,97,160,NEBIVOLOL
ALCOHOL,7,Various,153,153,153,ALCOHOL
EMPAGLIFLOZIN,7,Antidiabetic,96,108,56,EMPAGLIFLOZIN
EZETIMIBE,7,Lipid Modifying,123,151,212,EZETIMIBE
VALPROATE SODIUM,7,Narrow Therapeutic Index,178,34,34,VALPROATE SODIUM
BACLOFEN,7,Musculoskeletal (Other),221,161,94,BACLOFEN
HYRIMOZ,7,Immunosuppressant,230,57,70,HYRIMOZ
ATOVAQUONE,7,Antiparasitic,163,177,138,ATOVAQUONE
NYSTATIN,7,Antibacterial,106,153,78,NYSTATIN
METHOTREXATE SODIUM,7,Antineoplastic,42,157,143,METHOTREXATE SODIUM
KEPPRA,7,Antiepileptic,201,173,229,KEPPRA
CYCLOSPORINE,7,Narrow Therapeutic Index,178,34,34,CYCLOSPORINE
DOXYCYCLINE HYCLATE,7,Antibacterial,106,153,78,DOXYCYCLINE HYCLATE
DONEPEZILO,7,Psychoanaleptic,177,133,219,DONEPEZILO
EPIDIOLEX,7,Antiepileptic,201,173,229,EPIDIOLEX
DOXORUBICIN,7,Antineoplastic,42,157,143,DOXORUBICIN
ESCITALOPRAM OXALATE,7,Psychoanaleptic,177,133,219,ESCITALOPRAM OXALATE
RINVOQ,7,Immunosuppressant,230,57,70,RINVOQ
PROPRANOLOL,6,Beta Blocker,92,127,191,PROPRANOLOL
APREMILAST,6,Immunosuppressant,230,57,70,APREMILAST
AIMOVIG,6,Analgesic/Opioid,38,70,83,AIMOVIG
CASPOFUNGIN,6,Anti-infective (Other),56,102,65,CASPOFUNGIN
MUCINEX,6,Respiratory (Other),144,190,109,MUCINEX
AMITRIPTYLINE,6,Psychoanaleptic,177,133,219,AMITRIPTYLINE
METHOCARBAMOL,6,Musculoskeletal (Other),221,161,94,METHOCARBAMOL
VINCRISTINE SULFATE,6,Antineoplastic,42,157,143,VINCRISTINE SULFATE
MIDODRINE,6,Cardiovascular (Other),87,117,144,MIDODRINE
CICLOBENZAPRINA,6,Musculoskeletal (Other),221,161,94,CICLOBENZAPRINA
ASPARAGINASE,6,Antineoplastic,42,157,143,ASPARAGINASE
MYRBETRIQ,6,Genitourinary,204,213,174,MYRBETRIQ
LACOSAMIDE,6,Antiepileptic,201,173,229,LACOSAMIDE
FLUTICASONE PROPIONATE,6,Anti-asthmatic,181,201,154,FLUTICASONE PROPIONATE
WARFARIN,6,Narrow Therapeutic Index,178,34,34,WARFARIN
METOLAZONE,6,Cardiovascular (Other),87,117,144,METOLAZONE
ENALAPRIL,6,RAAS Inhibitor,67,97,160,ENALAPRIL
