PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS
HUMIRA + METHYLPREDNISOLONE SODIUM SUCCINATE,106,94,7.573546829536775,4.152921321726559,13.81162972655112,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,NEITHER_KNOWN,UNKNOWN_DRUGS
COSENTYX + TRAMADOL HYDROCHLORIDE,141,125,7.553889301776505,4.488994077853981,12.711365306762074,TOP_ROR,['OPIOIDS'],OPIOIDS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
DICLOFENAC + FOSAMAX,185,164,7.551622116739235,4.7945300592217714,11.894178551313855,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
ALENDRONIC ACID + PANTOPRAZOLE,132,117,7.541677539608574,4.405682049580802,12.909896690535852,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
IBUPROFEN + QUETIAPINE FUMARATE,158,140,7.520548865474268,4.603619930534549,12.285691714654426,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
QUETIAPINE FUMARATE + REMICADE,114,101,7.511677258572018,4.216099883030905,13.38329185796816,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
FLUCONAZOLE + MYCOPHENOLIC ACID,114,101,7.511677258572018,4.216099883030905,13.38329185796816,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
ACETAMINOPHEN + ADALIMUMAB,350,310,7.496327792348133,5.392959860724747,10.420053518213862,TOP_ROR,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
ALENDRONIC ACID + PHTHALYLSULFATHIAZOLE,140,124,7.493440280263727,4.452011513977967,12.61264645376136,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
INFLIXIMAB + METHYLPREDNISOLONE SODIUM SUCCINATE,140,124,7.493440280263727,4.452011513977967,12.61264645376136,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
AIMOVIG + DOMPERIDONE MALEATE,105,93,7.492959277791319,4.107229724951137,13.669661182466962,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
FOSAMAX + SULFASALAZINE,236,209,7.485804614398853,5.013619645254406,11.177008766111063,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
